Trading_date,Open_price,High_price,Low_price,Close_price,Volume,Symbol,Description,Month_Year,Month,Year,price_percent_day,price_fluctuation_day
2018-01-01,0.718847,0.730051,0.671941,0.728657,150186000,ADA,Cardano,2018-01,1,2018,1.36,8.65
2018-01-02,0.724676,0.794646,0.697856,0.782587,289712000,ADA,Cardano,2018-01,1,2018,7.99,13.87
2018-01-03,0.779681,1.08567,0.778578,1.07966,657398016,ADA,Cardano,2018-01,1,2018,38.47,39.44
2018-01-04,1.09403,1.32721,1.03765,1.11412,593430016,ADA,Cardano,2018-01,1,2018,1.84,27.91
2018-01-05,1.17115,1.25242,0.903503,0.999559,508100000,ADA,Cardano,2018-01,1,2018,-14.65,38.62
2018-01-06,0.997,1.05401,0.929183,1.02715,297615008,ADA,Cardano,2018-01,1,2018,3.02,13.43
2018-01-07,1.02415,1.04396,0.991391,1.00852,226067008,ADA,Cardano,2018-01,1,2018,-1.53,5.3
2018-01-08,0.999329,0.999329,0.764328,0.899002,264460992,ADA,Cardano,2018-01,1,2018,-10.04,30.75
2018-01-09,0.898185,0.919436,0.796177,0.814743,209492000,ADA,Cardano,2018-01,1,2018,-9.29,15.48
2018-01-10,0.815872,0.816252,0.676835,0.793121,236472000,ADA,Cardano,2018-01,1,2018,-2.79,20.6
2018-01-11,0.791522,0.791522,0.5725,0.688412,229000992,ADA,Cardano,2018-01,1,2018,-13.03,38.26
2018-01-12,0.695769,0.932269,0.659967,0.897508,365795008,ADA,Cardano,2018-01,1,2018,29.0,41.26
2018-01-13,0.91741,0.969325,0.836486,0.884124,313215008,ADA,Cardano,2018-01,1,2018,-3.63,15.88
2018-01-14,0.881961,0.881961,0.749514,0.802262,160712000,ADA,Cardano,2018-01,1,2018,-9.04,17.67
2018-01-15,0.795761,0.884506,0.777413,0.778587,972993024,ADA,Cardano,2018-01,1,2018,-2.16,13.78
2018-01-16,0.780621,0.780621,0.479944,0.626493,1632649984,ADA,Cardano,2018-01,1,2018,-19.74,62.65
2018-01-17,0.624123,0.678517,0.44062,0.629102,1713769984,ADA,Cardano,2018-01,1,2018,0.8,53.99
2018-01-18,0.631295,0.711008,0.591528,0.659843,1285490048,ADA,Cardano,2018-01,1,2018,4.52,20.2
